Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
"SABARMATI AT RAILWAY BRIDGE, AHMEDABAD",4.05,,,,,
"RIVER SAIKAH STREAM, LAWNGTLAI",4.05,,,,,
RIVER MARKANDA AFTER CONFLUENCE WITH SALANI KHAD AT MOGINAND KALA AMB,4.05,,,,,
"RIVER DZUNA RU IN KOHIMA, ADJOINING THE NEW KOHIMA MUNICIPAL COUNCIL SOLID WASTE MANAGEMENT SITE, NAGALAND",4.05,,,,,
"KRISHNA AT KRISHNA BRIDGE, KARAD, MAHARASHTRA",4.05,,,,,
"KIM RIVER AT SAHOL BRIDGE, OLPAD HANSOT ROAD, DIST. SURAT",4.05,,,,,
"GABHARU RIVER NEAR BRIDGE AT NH52, NEAR TUMIUKI, SONITPUR",4.05,,,,,
DAYA AT BHUBANESWAR FD/S ( 2 KM A/C OF GANGUA NALLAH WITH RIVER DAYA),4.05,,,,,
DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH,4.05,,,,,
"BHIMA AT NARSINGPUR, (D/S AF.CONFL.WITH R.NIRA), NARSINGPUR, MALSHIROS",4.05,,,,,
BAITARNI AT JAJPUR ORISSA,4.05,,,,,
"JHELUM RIVER AT SANGAM, CONFLUENCE POINT OF VISHAV NALLAH",4.025,,,,,
"SONE AT AMLAI, M.P.",4.016666667,,,,,
"SHIMSHA AT D/S OF BRIDGE, HALAGUR, KARNATAKA",4.016666667,,,,,
RIVER RANGIT AT LEGSHIP,4.016666667,,,,,
RIVER CAUVERY D/S AT BHAGAMANDALA BRIDGE,4.016666667,,,,,
SUBARNAREKHA AT CHANDIL BRIDGE,4.01,,,,,
"YAMUNA A/C OF CHAMBAL AT SHERGARH, JUHIKA (U.P)",4,,,,,
WATER SUPPLY INTAKE POINT TO MADIKERI TOWN,4,,,,,
"WARDHA RIVER D/S OF ACC GHUGGUS, CHANDRAPUR, CHANDRAPUR",4,,,,,
"WAINGANGA AT CHHAPARA, NEAR W/S INTAKE POINT, JABA",4,,,,,
"U/S HARBORA RIVER, BIHAR",4,,,,,
"TAPI AT KATHORE, (NH8 BRIDGE), GUJARAT",4,,,,,
"SUTLEJ AT BRIDGE HARIKE, AMRITSAR",4,,,,,
"SONE AT CHITAWAL NEAR ROAD BRIDGE CHITRANGI, DIST SINGROULI",4,,,,,
"SIRISWAA AT RUXOL,",4,,,,,
SABARMATI AFTER CONF. WITH MESHWA AT VAUTHA (NEAR,4,,,,,
"RIVER SWAN AT D/S NANGAL DISTT. UNA, H.P.",4,,,,,
"RIVER SUTLEJ AT 100M D/S , NANGAL",4,,,,,
RIVER NARMADA U/S BEFOR CONFLUENCE TAWA NEAR BANDRABHAN,4,,,,,
"RIVER HINDON AT GHAZIABAD D/S, U.P.",4,,,,,
RIVER GANGA AT D/S SARIKPUR,4,,,,,
RIVER ALAKNANDA B/C TO BHAGIRATHI AT DEVPRAYAG,4,,,,,
"NARMADA AT BADWANI,",4,,,,,
"MANUSMAR RIVER AT RIGA, SITAMARHI, BIHAR",4,,,,,
"KRISHNA RIVER AT KRISHNA- VENNA SANGAM AT MAHULI, SATARA",4,,,,,
"KRISHNA AT D/S OF NARAYANPURA DAM, KARNATAKA",4,,,,,
"KOSHI RIVER AT MADHEPURA, BIHAR",4,,,,,
KAGINA AT SHAHABAD,4,,,,,
"KACHCHIDARGAH BIDUPUR ROAD BRIDGE, PATNA",4,,,,,
"INDRAYANI RIVER AT D/S OF MOSHI VILLAGE. VILLAGE MOSHI, TALUKA HAWELI, DISTRICT PUNE.",4,,,,,
HARABAGH(INTAKE FROM BBMB SOURCE-BBMB ADIT HARABGH) WATER SPRING,4,,,,,
"GODAVARI RIVER AT TAPOVAN, TAPOVAN, NASHIK",4,,,,,
GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ,4,,,,,
DZUNA RU (CONFLUENCE OF DZUCHA and DZUNA RU) IN KOHIMA,4,,,,,
"DARNA RIVER AT MES SITE PUMPING STATION, VILLAGE BHAGUR, TALUKA NASHIK, DISTRICT NASHIK.",4,,,,,
"D/S DAHA RIVER AT SASAMUSA, BIHAR",4,,,,,
"CAUVERY AT SRI RANGAPATTANNA, D/S OF ROAD BDG., KA",4,,,,,
"BETWA AT KANJIA ROAD BRIDGE, ASHOK NAGAR (M.P.)",4,,,,,
BASANTER AT SAMBA (AT CHAK MANGA GUJJAR BASANTAR) D/S(R.H.S.),4,,,,,
"ASANGI NALLA AT ASANGI VILLAGE, KARNATAKA",4,,,,,
WARDHA RIVER D/S OF ACC GHUGGUS.,3.983333333,,,,,
"RIVER HARBORA,U/S AT NARKATIAGANJ, WEST CHAMPARAN",3.975,,,,,
KRISHNA D/S OF ISLAMPUR,3.975,,,,,
BHAVANI AT BHAVANI,3.975,,,,,
RIVER BEAS AT D/S PONG DAM,3.966666667,,,,,
"NIRA RIVER AT U/S OF JUBILANT ORGANOSIS, BARAMATI, PUNE.",3.966666667,,,,,
RIVER TORSA D/S OF GHUGHUMARI,3.96,,,,,
GANGA AT D/S BUXAR NEAR GANGA BRIDGE,3.96,,,,,
"WENA RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER ROAD, HINGANGHAT, WARDHA",3.95,,,,,
"VENNA RIVER AT MAHABALESHWAR, SATARA",3.95,,,,,
SATLUJ AT NEPTHA ZAKHAI,3.95,,,,,
"SABARMATI AT VILL. MIROLI TALUKA DASCROI,",3.95,,,,,
RIVER NARMADA AT SETHANIGHAT,3.95,,,,,
RIVER GANGA CHUSA AT BUXAR,3.95,,,,,
"RAVI AT U/S OF MADHOPUR HEADWORKS, GURDASPUR",3.95,,,,,
"NARMADA AT LALPUR, NEAR WATER SUPPLY INTAKE POINT, JABALPUR",3.95,,,,,
HASDEO AT U/S KORBA,3.95,,,,,
"DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH, BURDWAN,WEST BENGAL",3.95,,,,,
BEAS AT D/S PATHANKOT,3.95,,,,,
SUKETI KHAD D/S SWM SITE AT SUNDER NAGAR,3.925,,,,,
"PAWNA RIVER AT KASARWADI, HAWELI, PUNE.",3.925,,,,,
"NARMADA AT LALPUR, NEAR WATER SUPPLY INTAKE POINT,",3.925,,,,,
"RIVER KALI SINDH AT BAROD ROAD BRIDGE, KOTA, RAJASTHAN",3.916666667,,,,,
MAHANADI POWER CHANNEL U/S,3.916666667,,,,,
GODAVARI RIVER AT SAIKHEDA.,3.9125,,,,,
"YAMUNA AT JUHIKA BC WITH CHAMBAL, ETAWAH, U.P",3.9,,,,,
"YAMUNA , D/S PAONTA SAHIB, H.P",3.9,,,,,
"THANGADI , MAHABOOBNAGAR DIST.",3.9,,,,,
"SINA RIVER NEAR LABOTI TOLL NAKA, VILLAGE LABOTI,TALUKA MOHAL, DISTRICT SOLAPUR.",3.9,,,,,
"SABARMATI AT GANDHI NAGAR CHILODA BRIDGE, LEKAWADA",3.9,,,,,
"RIVER, TLAWNG SAIRANG",3.9,,,,,
RIVER SUTLEJ AT LUDHIANA D/S,3.9,,,,,
"RIVER SABARMATI AT GANDHI NAGAR CHILODA BRIDGE, LEKAWADA,",3.9,,,,,
RIVER JHELAM AT CHATTABAL WEIR (OUTLET,3.9,,,,,
RAVI AT MADHOPUR,3.9,,,,,
"NEAR BRIDGE OVER DHANSIRI RIVER AT NH15, DHANSIRI",3.9,,,,,
"NARMADA AT SARSWATIGHAT, AFTER MIXING WITH BAWANGA",3.9,,,,,
MAHANADI U/S OF RAJIM,3.9,,,,,
"KRISHNA AT KRISHNA BRIDGE, KARAD, KARAD, SATARA",3.9,,,,,
KALINADI AT KANNAUJ (B/C),3.9,,,,,
"BAGMATI RIVER AT MUZAFFARPUR- SITAMARHI ROAD BRIDGE, SITAMARHI",3.9,,,,,
"SUTLEJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA",3.883333333,,,,,
RIVER KABINI AT CAUSE WAY SATTUR,3.883333333,,,,,
"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",3.878571429,,,,,
"GANGA D/S, MIRZAPUR",3.878571429,,,,,
"SONE AT AMLAI, 100 METRE D/S AFTER MIXING OF ATPS",3.875,,,,,
"RIVER KOHRA D/S NEAR RAILWAY BRIDGE, MAJHAULIA, WEST CHAMPARAN",3.875,,,,,
MAHI AT UMETA BRIDGE,3.87,,,,,
SINDH AT WAIL BRIDGE,3.866666667,,,,,
BATTA BEFORE CONFLUENCE TO YAMUNA,3.8625,,,,,
SUBAREKHA AT GHATISLA ROAD BRIDGE,3.85,,,,,
"SIKRAHNA RIVER AT LAUREA, HARINAGAR ROAD BRIDGE",3.85,,,,,
"RIVER KARIYARI U/S BEFORE MIXING WITH WASTE WATER OF M/S J.P. CEMENT , REWA",3.85,,,,,
RIVER KALINADI AT U/S OF MUZAFFAR NAGAR U.P.,3.85,,,,,
PURNA ON BRIDGE AT SURAT- NAVSARI HIGHWAY,3.85,,,,,
KSHIPRA AT SIDDHAWAT (D/S) OF UJJAIN,3.85,,,,,
KOLONG AT MARIGAON,3.85,,,,,
"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",3.85,,,,,
DEEPAR BEEL,3.85,,,,,
"DAMODAR AT HOOGHLY, DURGACHAK, NEAR PATHIKALI",3.85,,,,,
"GANGA D/S, ANOOPSHAHAR",3.842857143,,,,,
PABBAR AT U/S DHAMBARI,3.83,,,,,
GANGA AT BUXAR,3.83,,,,,
"GODAVARI AT BURGAMPAHAD, KHAMMAM",3.828571429,,,,,
"RIVER PHE RESERVIOR (LAHMUN RIVER), MIZO VENG, MAMIT",3.825,,,,,
RIVER HINDON AT BARNAWA U/S,3.825,,,,,
PABBAR AT D/S SWARAKUDDU,3.825,,,,,
"CHUNT KOL * (MAULANA AZAD BRIDGE), JandK",3.825,,,,,
"RIVER NARMADA AT KAKRANA, INTERSTATE BOUNDRY, ALIRAJPUR",3.816666667,,,,,
"YAMUNA , D/S PAONTA SAHIB",3.8,,,,,
"WARDHA AT RAJURA BRIDGE,RAJURA, CHANDRAPUR, CHANDRAPUR",3.8,,,,,
"TAPI AT BHUSAWAL U/S, BHUSAWAL RAILWAY COLONY, BHUSAWAL, JALGAON",3.8,,,,,
"SUBARNAREKHA AT D/S JAMSHEDPUR, (TATA NAGAR), JHAR",3.8,,,,,
"SONE RIVER NEAR BANZARI, BIHAR",3.8,,,,,
"SONE AT WATER INTAKE POINT BHARTIYA RAIL BIJALI CO. LTD. (BRBCL), NAVINAGAR, AURANGABAD",3.8,,,,,
"SANO RU IN KOHIMA, NAGALAND",3.8,,,,,
"SABARMATI AT KHEROJ BRIDGE, GUJARAT",3.8,,,,,
"RIVER UMKHRAH AT MAWLAI, NEAR SLAUGHTER HOUSE",3.8,,,,,
"RIVER UJAD AT BHIM SAGAR DAM UPSTREAM , JHALAWAR, RAJASTHAN",3.8,,,,,
"RIVER SIANG AT RANAGHAT, NEAR RCC BRIDGE, PASIGHAT,",3.8,,,,,
RIVER NORTH KOEL U/S DALTANGANJ,3.8,,,,,
"RIVER MUSI BEFORE CONFLUENCE OF RIVER KRISHNA AT WADAPALLY (V), DAMARACHARLA (M), NALGONDA(D)",3.8,,,,,
RIVER KRISHNA AT WADAPALLY AFTER CONFL. WITH R. MUSI(SHIFTED FROM 1220),3.8,,,,,
RIVER JHELUM AT VERINAG,3.8,,,,,
RIVER IRIL AT KANGLA SIPHAI,3.8,,,,,
"RIVER GANGA D/S OF M/S NTPC, BARH WATER INTAKE POINT,PATHANICHAK, BINDTOLA BARH",3.8,,,,,
RIVER GANGA AT D/S BHAGALPUR NEAR BARARIGHAT,3.8,,,,,
"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",3.8,,,,,
"MAT RIVER, DAWN VILLAGE, NEAR MAT BRIDGE,LUNGLEI DIST.",3.8,,,,,
"MAHI AFTER CONF. WITH ANAS AT PARDI (BANASWADA),",3.8,,,,,
"GODAVARI RIVER AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN.",3.8,,,,,
GANDA NALLAH AT MARTHAPUR,3.8,,,,,
DIKHOW RIVER AT NAGINI MORA (INTERSTATE BOUNDARIE,3.8,,,,,
"DAMDIAI STREAM, AIRFIELD, NEAR TUIRIAL WASTE MANAGEMENT CENTRE, AIZAWL DIST",3.8,,,,,
"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED, BEED",3.8,,,,,
"AMRAVATI RIVER D/S OF DONDAICHA, DHULE, DHULE",3.8,,,,,
"BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",3.778571429,,,,,
WARDHA D/S OF ACC GHUGGUS.,3.775,,,,,
"PENNAR A/c WITH PAPAGNI, PUSPAGINI",3.775,,,,,
BETWA AT U/S NEAR ROAD BRIDGE ORCHHA,3.775,,,,,
"CAUVERY AT PITCHAVARAM, TAMILNADU",3.77,,,,,
NARMADA RIVER AT DHARAMPURI,3.7625,,,,,
WARDHA AT BANGON VILLAGE NEAR PANDHURNA (M.P.),3.75,,,,,
TAPI AT MANDAVI,3.75,,,,,
"SONE AT DEVLOAD OUT LET OF BANSAGAR DAM, M.P",3.75,,,,,
"RUPNARAYAN , D/S AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3",3.75,,,,,
RIVER TEESTA A/C WITH RANICHU AT SINGTAM,3.75,,,,,
"RIVER TAPI AT ONGC BRIDGE AT SURAT, DIST SURAT",3.75,,,,,
"RIVER SIANG AT RANAGHAT, NEAR RCC BRIDGE, PASIGHAT(U/S)",3.75,,,,,
"RIVER SEONATH AT U/S RAJNANDGAON,",3.75,,,,,
"RIVER MULA AT AUNDH BRIDGE, AUNDHGAON, HAWELI, PUNE",3.75,,,,,
RIVER KRISHNA AT D/S OF ALAMATTI DAM,3.75,,,,,
"RIVER DAMODAR AT WATER INTAKE POINT FOR BURDWAN TOWN, BURDWAN",3.75,,,,,
"RIVER ALI SAGAR RESERVIOR PROJECT AREA, ALISAGAR (V) YEDAPALLY (M) NIZAMABAD DIST.",3.75,,,,,
"PAWANA RIVER AT RAVET WEIR, RAVET, HAWELI, PUNE",3.75,,,,,
NARMADA NEAR SOURCE AT AMARKANTAK M.P.,3.75,,,,,
"MUTHA RIVER AT KHADAKVASLA DAM, VILLAGE KHADAKVASLA,TALUKA HAWELI, DISTRICT PUNE.",3.75,,,,,
MULA RIVER AT HARRISON BDG NEAR MULA- PAWANA SANGAM.,3.75,,,,,
"MAHANADI AT TIKARPADA, ORISSA",3.75,,,,,
"KATHAJODI AT CUTTACK D/S, ORISSA",3.75,,,,,
"GANDAK AT ROAD BRIDGE, U/S HAJIPUR",3.75,,,,,
"BRAHMANI AT ROURKELA D/S, ORISSA",3.75,,,,,
"BHIMA RIVER AT D/S OF BUNDGARDEN, VILLAGE YERWADA,TALUKA HAWELI, DISTRICT PUNE.",3.75,,,,,
"AMARAVATI , GUNTUR DIST",3.75,,,,,
MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU,3.74,,,,,
RIVER JUMAR AT KANKE DAM,3.733333333,,,,,
ALAKNANDA A/C MANDAKINI AT RUDRAPRAYAG,3.733333333,,,,,
KRISHNA AT GADWAL BRIDGE,3.73,,,,,
"PARVATI BEFORE CONF. TO RIVER BEAS, H.P.",3.716666667,,,,,
"D/S OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MANDIR, GANDHIGHAT",3.716666667,,,,,
NARMADA RIVER AT D/S OF KAPILDHARA,3.7125,,,,,
"NARMADA AT ZANOR (NTPC), BHARUCH",3.707142857,,,,,
"TUNGHABHADRA AT KURNOOL U/S, BAVAPURAM, A.P.",3.7,,,,,
TAWI AT BELOW TAWI BRIDGE,3.7,,,,,
SUTLEJ AT D/S BHAKHRA,3.7,,,,,
"SONE RIVER AT NASIRIGANJ DAM, BIHAR",3.7,,,,,
SINDH RIVER AT SONAMARG U/S,3.7,,,,,
"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",3.7,,,,,
"PENNAR AFTER CONF. WITH PAPAGNI, PUSPAGINI, A.P.",3.7,,,,,
"PENNAR AFTER CONF. WITH CHEYYURU, SOMASILE, A.P.",3.7,,,,,
"MANJEERA RIVER - NEAR GANAPATHI SUGARS , MEDAK DIST.",3.7,,,,,
KARIYARI U/S BEFORE MIXING WITH WASTE WATER OF M/S,3.7,,,,,
"IB AT RAJ NAGAR U/S, ORISSA",3.7,,,,,
"GODAVARI AT U/S OF GANGAPUR DAM, NASHIK",3.7,,,,,
"DARNA RIVER AT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, VILLAGE BHAGUR,TALUKA NASHIK,DISTRICT NASHIK.",3.7,,,,,
CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF R. AMRAVATI,3.7,,,,,
"BORI RIVER D/S OF AMALNER, JALGAON, JALGAON",3.7,,,,,
BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE),3.7,,,,,
"SUTLEJ AT D/S EAST BEIN, PUNJAB",3.675,,,,,
RIVER WAIKHRWI AT MOOPALA,3.675,,,,,
"RIVER RAPTI AFTER CONFL. OF R. HONIN NR. DOMINGARH RLY BRIDGE, GORAKHPUR, U.P.",3.675,,,,,
"CAUVERY AT NAPOKULU BDG (D/S), KARNATAKA",3.675,,,,,
"BHIMA AFTER CONF. WITH DAUNT, MAHARASHTRA",3.675,,,,,
KHANDITARA (D/S OF INDUSTRIAL ACTIVITIES AT KALINGA NAGAR),3.666666667,,,,,
"RIVER NARMADA LALPUR, JABALPUR",3.6625,,,,,
ALAKNANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,3.6625,,,,,
"WENA RIVER AT U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE, HINGANGHAT, WARDHA",3.65,,,,,
SHANKNI A/C DANKANI DANTEWADA,3.65,,,,,
RIVER SUTLEJ U/S IANDFILL SITE RAMPUR,3.65,,,,,
"RIVER KANHAN D/S OF NAGPUR, AGARGAON, KUHI, NAGPUR",3.65,,,,,
RIVER JHELAM AT ANANTNAG D/S,3.65,,,,,
MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,3.65,,,,,
"KANSI, D/S MIDNAPORE, NEAR NEW HANUMAN MANDIR, GANDHIGHAT",3.65,,,,,
IB AT RAJ NAGAR U/S,3.65,,,,,
"HINDON AT SAHARANPUR D/S, U.P.",3.65,,,,,
GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE.,3.65,,,,,
"CHENAB AT JAL PATAN MANDIR AFTER MEETING WITH MAIN DRAIN OF AKHNOOR CITY(1.5 KMD/S FROM SPOT,JandK",3.65,,,,,
"CAUVERY AT URRACHIKOTTAI, ERODE",3.65,,,,,
KATNI RIVER NEAR NAGAR NIGAM,3.64,,,,,
RIVER ADYAR AT JAFERKHANPET,3.633333333,,,,,
MANGALA AT PURI D/s GOLASAHI,3.633333333,,,,,
RIVER NALKARI TRIBUTARY AT PATRATU,3.625,,,,,
RIVER TOCKLAI NEAR BRIDGE AT JORHAT,3.616666667,,,,,
"RIVER DAMODAR AT DURGAPUR U/S, BURDWAN",3.61,,,,,
"WAINGANGA AT ASHTI,GONDPIPRI, CHANDRAPUR",3.6,,,,,
"SABARMATI AT RAILWAY BRIDGE AHMEDABAD, GUJARAT",3.6,,,,,
"RIVER WARDHA AT D/S OF ERAI RIVER AT HADASTI NEAR ARUN ENGG. WORKS, VILLAGE- HADASTI, TALUKA- CHANDRAPUR,",3.6,,,,,
"RIVER UMTREW AT UMRAN,",3.6,,,,,
"RIVER TAPI AT UKAI, SHERULA BRIDGE",3.6,,,,,
RIVER HASDEO AT U/S OF CHAMPA CHHATTISGARH,3.6,,,,,
"RIVER GIRI D/S KALGIDHAR TRUST, BARU SAHIB",3.6,,,,,
"RIVER GANGA, JHAJGHAT AT KAHALGAON",3.6,,,,,
"RIVER GANGA AT KANPUR D/S (JANA VILLAGE), U.P",3.6,,,,,
RIVER GANGA AT D/S SHUKLAGANJ,3.6,,,,,
"RIVER DHOS AT MADHWAPUR, MADHUBANI",3.6,,,,,
RIVER BEAS AT EXIT OF DEHAR POWER HOUSE,3.6,,,,,
"PEDHI RIVER NEAR ROAD BRIDGE AT DADHI-PEDHI VILLAGE, BHATKULI, AMRAVATI",3.6,,,,,
"MAHI (D/S) CONF WITH R. CHAP (UNDER SAGWARA- SARHI RD. BDG.), RAJASTHAN",3.6,,,,,
MAHANADI AT PARADEEPD/S,3.6,,,,,
"LIDDER NERA BUMZOO, ANANTNAG",3.6,,,,,
"KRISHNA D/S OF ISLAMPUR, WALWA, SANGLI",3.6,,,,,
"KRISHNA AT U/S OF UGARKHURD BARRAGE, KARNATAKA",3.6,,,,,
IB AT BRAJRAJNAGAR D/S,3.6,,,,,
GOMTI AT SITAPUR U/S AT WATER INTAKE,3.6,,,,,
"GOMTI AT LUCKNOW D/S,",3.6,,,,,
"GODAVARI RIVER AT NANDUR MADMESHWAR DAM, NANDUR, NASHIK",3.6,,,,,
"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",3.6,,,,,
GANGA AT TARIGHAT GHAZIPUR (U.P.),3.6,,,,,
GANGA AT DALMAU (RAI BAREILLY),3.6,,,,,
"DHANSIRI AT NAGALAND- ASSAM BORDER, DIMAPUR",3.6,,,,,
DAMODAR AT DOMGARH WATER WORKS D/S SINDRI,3.6,,,,,
CHAMPANAGAR,3.6,,,,,
"CHAMBAL AT JAWNPAWA, FROM ORIGIN POINT, INDORE",3.6,,,,,
BHAVANI AT SIRUMUGAI,3.6,,,,,
"TITUR RIVER, D/S OF CHALISGAON, JALGOAN.",3.591666667,,,,,
BHADRA AT MALLESWARAM D/S OF KIOCL,3.5875,,,,,
"TAPI AT MANDAVI, GUJARAT",3.575,,,,,
"RIVER WAH BLEI AT SDAD DKHAR,",3.575,,,,,
RIVER KAGINA AT SHAHABAD BRIDGE,3.575,,,,,
RIVER GANGA AT HAR KI PAURI GHAT,3.575,,,,,
"GODAVARI AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",3.575,,,,,
"GANGA AT DAKSHMINESHWAR, KOLKATA, WEST BENGAL",3.575,,,,,
"CHHIMTUIPUI RIVER, KAWLCHAW, NEAR CHHIMTUPUI BRIDGE, SAIHA DIST.",3.575,,,,,
BOKARO AT ZARANGDIH BRIDGE,3.575,,,,,
"RIVER NARMADA AT PANCHWATIGHAT, BEFORE MIXING WITH BAWANGANGA RIVER, JABALPUR",3.566666667,,,,,
"DHANSIRI AT NAGALAND ASSAM BORDER, DIMAPUR",3.566666667,,,,,
"MULA-MUTHA RIVER AT D/S OF THEUR, HAWELI, PUNE",3.5625,,,,,
YAGACHI NEAR PUMPING STATION. HASSAN CITY,3.55,,,,,
"SUBARNAREKHA AT JAMSHEDPUR, JHARKHAND",3.55,,,,,
"RIVER WAINGANGA U/S OF GAURAV PAPER MILLS, NEAR JACKWELL, BRAMHPURI, CHANDRAPUR",3.55,,,,,
"RIVER PURNA AT D/S OF CONFLUENCE OF MORNA and PURNA RIVER AT ANDURA VILLAGE, VILLAGE-ANDURA, TALUKA- BALAPUR, DISTRICT - AKOLA.",3.55,,,,,
"RIVER PARVATI NEAR INTAKE POINT PILLUKHEDI DISTT. RAJGARH, M.P",3.55,,,,,
RIVER MALPRABHA AT D/S OF KHANAPUR VILLAGE,3.55,,,,,
RIVER DHAMRA AT DHAMRA,3.55,,,,,
RIVER BUGI AT DALU,3.55,,,,,
"D/S OF SILABATI AT GHATAL,",3.55,,,,,
"BRAHMANI AT KAMALANGA, ORISSA",3.55,,,,,
"BEAS AT U/S MANALI, H.P.",3.55,,,,,
"BEAS AT D/S PONG DAM, H.P.",3.55,,,,,
AMRAVATI AT 1KM D/S FROM EFF.DIS. PT. AT MADHUTHUK,3.55,,,,,
RIVER HINDON AT MOHAN NAGAR U/S,3.54,,,,,
"CHAMBAL AT NAGDA D/S, M.P.",3.5375,,,,,
RIVER SABULIA NADI NEAR RAMBHA (AT JAGANNATHPATNA),3.533333333,,,,,
RIVER BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,3.533333333,,,,,
KRISHNA AT SANGLI,3.533333333,,,,,
"KABBANI AT SARAGUR VILLAGE D/S, KARNATAKA",3.533333333,,,,,
"CHOTA TAWA BEFORE CONFL. WITH RIVER NARMADA, M.P.",3.533333333,,,,,
RIVER WARDHA AT VILLAGE BANGAON NEAR PANDHURNA (MP and MAHARASHTRA),3.525,,,,,
"RIVER VEL AT SHIKRAPUR, VILLAGE. SHIKRAPUR, TALUKA. SHIRUR, DISTRICT. PUNE.",3.525,,,,,
"RIVER CHAMBAL AT DHOLPUR, M.P",3.525,,,,,
"RAMGANGA AT KANNAUJ (BEFORE CONF.),U.P",3.525,,,,,
"MOR RIVER NEAR PADALSHE, JALGAON",3.525,,,,,
KUSHABHADRA AT BHINGARPUR,3.525,,,,,
"CHITE STREAM, ARMED VENG, NEAR MINI SPORTS COMPLEX, AIZAWL",3.525,,,,,
"BRAHMANI AT TALCHER FU/s (INTAKE WELL OF MCL, TALCHER)",3.525,,,,,
"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",3.525,,,,,
"RIVER SABARMATI AT VILL. MIROLI TALUKA DASCROI, AHMEDABAD,",3.516666667,,,,,
"NEWAJ AT W/S INTAKE POINT, SHUJALPUR, UJJAIN",3.516666667,,,,,
TAPI AT HATHNUR M.P.,3.5125,,,,,
"CHATHE AT MEDZIPHEMA, DIMAPUR",3.509375,,,,,
GANGA AT KAHALGAON,3.507142857,,,,,
YAMUNA AT PONTA SAHIB (H.P),3.5,,,,,
TRIVENI GHAT,3.5,,,,,
"TAWI AT BELOW TAWI BRIDGE,JandK",3.5,,,,,
"SEONATH RIVER WATER SUPPLY WELL, DURG, CHHATISGARH",3.5,,,,,
"SABARMATI AT VILL. MIROLI TALUKA DASCROI, AHMEDABA",3.5,,,,,
RIVER UMIAM MAWPHLANG AT UMTYNGNGAR,3.5,,,,,
"RIVER TUNGABHADRA AT D/S OF GANGAWATHI,",3.5,,,,,
RIVER TUIRIAL UPPER CATCHMENT,3.5,,,,,
RIVER SWAN U/S GAGRET,3.5,,,,,
RIVER SIMSANG AT BAGHMARA,3.5,,,,,
RIVER NARMADA AT DHARAMPURI,3.5,,,,,
RIVER NAMBUL AT SINGDA DAM,3.5,,,,,
"RIVER HIRAN, NH 7 ROAD BRIDGE, SIHORA, DIST JABALP",3.5,,,,,
"RIVER GHAGHARA AT BARHALGANJ, GORAKHPUR",3.5,,,,,
"RIVER GANGA AT MALSALAMI, PATNA CITY, PATNA",3.5,,,,,
"RIVER CAUVERY D/S AT KANIVE RAMALINGESWARA TEMPLE BRIDGE, KUSHALNAGAR",3.5,,,,,
"RIVER CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM, TAMILNADU",3.5,,,,,
"NIRA RIVER AT U/S OF JUBILANT ORGANOSIS, VILLAGE NIRA (DATTAGHAT),TALUKA BARAMATI, DISTRICT PUNE.",3.5,,,,,
"NIRA RIVER AT D/S OF JUBILANT ORGANOSIS, NIMBUT, BARAMATI,PUNE.",3.5,,,,,
"LIDDER AT YANEER, D/S OF PHALGUM",3.5,,,,,
"KRISHNA RIVER AT KRISHNA VENNA SANGAM AT MAHULI, SATARA",3.5,,,,,
"KRISHNA AT KURUNDWAD, SHIROL, KOLHAPUR",3.5,,,,,
"KOSHI RIVER AT KURSHELA AT KATIHAR, BIHAR",3.5,,,,,
KARO AT LOHOJIMI U/S,3.5,,,,,
"KALINADI AT KANNAUJ (BEFORE CONF.),U.P",3.5,,,,,
